canonical_name,lat,lng,elevation_ft
Lynnwood city,47.82898,-122.30067,417.6
Redmond city,47.67792,-122.11534,159.0
Renton city,47.47919,-122.19461,73.5
Richland city,46.28409,-119.29405,405.0
Brookfield city,43.06432,-88.11779,832.6
McFarland village,43.01922,-89.28342,893.9
Poynette village,43.39216,-89.40479,846.2
Prairie du Chien city,43.04334,-91.13733,640.9
Juneau city and borough,58.37291,-134.17845,668.5
Mobile city,30.66843,-88.10023,34.6
Flagstaff city,35.18521,-111.6207,6833.8
Agoura Hills city,34.14894,-118.76393,959.5
Altadena CDP,34.19221,-118.13559,1399.5
Atherton town,37.45707,-122.20106,65.6
Carson city,33.84037,-118.24957,21.5
Clayton city,37.94032,-121.93008,446.5
Concord city,37.97218,-122.00159,159.8
Corona city,33.86197,-117.56549,835.0
Covina city,34.09047,-117.88214,582.2
Cypress city,33.81848,-118.03831,37.8
Davis city,38.55615,-121.73779,40.2
Fontana city,34.10969,-117.46289,1309.6
Ladera Ranch CDP,33.54915,-117.64174,515.8
Malibu city,34.02586,-118.75964,22.9
Merced city,37.30571,-120.47791,171.3
Moraga town,37.84569,-122.12322,653.0
Morgan Hill city,37.13249,-121.64189,359.6
Pacifica city,37.6066,-122.47723,498.8
Richmond city,37.95228,-122.36061,33.2
Roseville city,38.7703,-121.31963,145.3
San Gabriel city,34.09464,-118.09847,402.6
San Ramon city,37.76526,-121.93199,681.9
Saratoga city,37.26833,-122.02622,432.5
Sunnyvale city,37.3858,-122.02632,57.2
Tulare city,36.19937,-119.34192,270.5
Union City city,37.60276,-122.01884,92.3
Vista city,33.18968,-117.23858,436.6
West Covina city,34.05594,-117.90994,455.2
Westminster city,33.75229,-117.99387,34.6
Arvada city,39.83373,-105.15031,5506.8
Centennial city,39.59086,-104.86381,5739.7
Eagle town,39.64322,-106.82134,6657.1
Lakewood city,39.69894,-105.11757,5656.8
Longmont city,40.16985,-105.10184,4985.0
Silverthorne town,39.65991,-106.08911,8793.4
Telluride town,37.94023,-107.81815,8751.5
Darien Downtown CDP,41.07674,-73.46967,49.7
Fairfield University CDP,41.15895,-73.25706,95.6
Ridgefield CDP,41.26969,-73.49261,707.9
Newark city,39.67765,-75.75748,124.5
Bradenton city,27.4898,-82.5768,17.1
Davie town,26.07917,-80.28301,6.7
Jupiter town,26.91855,-80.11694,9.9
Kissimmee city,28.30278,-81.41783,70.1
Lakeland city,28.0555,-81.95477,202.2
Tallahassee city,30.45353,-84.25227,150.9
Weston city,26.10039,-80.40206,5.9
Winter Park city,28.59663,-81.34575,86.2
Athens-Clarke County unified government (balance),33.9496,-83.37009,645.2
Douglasville city,33.73678,-84.70107,1023.5
Lawrenceville city,33.95287,-83.99223,1071.7
Moultrie city,31.17943,-83.79079,310.2
Woodstock city,34.10314,-84.513,955.4
Kailua CDP,19.64558,-155.99775,84.8
Laie CDP,21.64554,-157.92285,7.1
Ketchum city,43.68772,-114.38007,5849.6
Aurora city,41.76346,-88.2901,719.1
Carpentersville village,42.12274,-88.2939,740.1
Crystal Lake city,42.23321,-88.33436,900.5
Glen Ellyn village,41.86671,-88.06271,782.2
Glenview village,42.08516,-87.82739,636.0
Oak Park village,41.88716,-87.78994,634.9
Wheaton city,41.85683,-88.10813,741.4
Winnetka village,42.10621,-87.74276,640.2
Evansville city,37.98774,-87.53471,398.2
Fishers city,39.96183,-85.96836,816.2
Lafayette city,40.39941,-86.86281,661.5
Lawrenceburg city,39.10739,-84.87577,699.4
Lexington-Fayette urban county,38.04068,-84.45827,1059.2
New Orleans city,30.05342,-89.9345,-4.8
Hingham CDP,42.23314,-70.88953,51.9
Medfield CDP,42.18701,-71.30041,182.6
Norwood CDP,42.18736,-71.19597,77.0
Ellicott City CDP,39.27669,-76.83395,382.8
Frederick city,39.43409,-77.41454,340.2
Laurel city,39.09508,-76.86124,213.5
Waldorf CDP,38.60917,-76.91978,211.2
Detroit city,42.38304,-83.10224,638.6
Lansing city,42.71434,-84.56089,854.7
Muskegon city,43.22654,-86.25725,600.6
Plymouth city,42.37125,-83.46762,723.2
Blaine city,45.17052,-93.20609,908.1
Edina city,44.89112,-93.35975,954.2
Elk River city,45.33221,-93.56653,1006.8
Roseville city,45.01562,-93.15381,907.4
St. Paul city,44.9489,-93.10406,842.5
Shoreview city,45.08299,-93.14049,900.0
Warroad city,48.9171,-95.32798,1072.6
White Bear Lake city,45.06521,-93.01287,943.3
Kansas City city,39.12236,-94.55512,741.9
O'Fallon city,38.78467,-90.72074,622.2
St. Charles city,38.7957,-90.51536,553.7
Butte-Silver Bow (balance),45.89623,-112.66007,5814.7
Whitefish city,48.43799,-114.34803,3034.3
Cary town,35.7813,-78.82344,379.5
Fayetteville city,35.08277,-78.97352,220.3
Huntersville town,35.40681,-80.86868,730.7
Bismarck city,46.81458,-100.77009,1753.0
Devils Lake city,48.11258,-98.87476,1437.8
Norfolk city,42.02822,-97.42781,1533.1
Nashua city,42.74907,-71.49054,190.0
Cherry Hill Mall CDP,39.93821,-75.01236,41.8
Newark city,40.72422,-74.17257,12.5
Plainfield city,40.61544,-74.41577,100.2
Short Hills CDP,40.73916,-74.32744,386.2
Toms River CDP,39.99486,-74.18775,56.4
Albany city,42.66575,-73.79835,223.7
Briarcliff Manor village,41.14033,-73.8475,449.4
New York City (Bronx),40.8448,-73.8648,46.2
Fairport village,43.09947,-77.44307,486.8
Levittown CDP,40.72399,-73.51271,84.6
Rye city,40.94474,-73.68637,8.2
Syracuse city,43.041,-76.14355,403.0
Akron city,41.08046,-81.52143,961.2
Powell city,40.16769,-83.08155,930.4
Shaker Heights city,41.47609,-81.5492,1024.3
Solon city,41.38599,-81.44084,1033.1
Oklahoma City city,35.46708,-97.51366,1196.1
Gresham city,45.50232,-122.44161,386.4
Broomall CDP,39.96882,-75.35413,330.6
Doylestown borough,40.3142,-75.1277,454.5
Mount Joy borough,40.11061,-76.50572,387.9
Perkasie borough,40.37174,-75.29277,368.0
Spring City borough,40.1769,-75.54647,144.9
Yardley borough,40.24029,-74.83893,87.0
Gallatin city,36.38152,-86.46702,542.5
Colleyville city,32.89148,-97.14975,630.1
El Paso city,31.84778,-106.43111,3891.2
Grand Prairie city,32.68611,-97.0208,527.7
Keller city,32.93288,-97.22451,650.7
McKinney city,33.20112,-96.66416,570.5
New Braunfels city,29.69931,-98.11513,619.4
Pasadena city,29.655,-95.15105,26.3
The Colony city,33.0896,-96.90337,522.1
Bountiful city,40.87248,-111.8612,4831.0
Herriman city,40.49173,-112.02034,4984.9
Provo city,40.24531,-111.64506,4605.9
Chantilly CDP,38.88918,-77.44209,294.5
Chesapeake city,36.67938,-76.30179,13.9
Fredericksburg city,38.29927,-77.48666,113.9
Hampton city,37.04796,-76.29729,1.8
Norfolk city,36.92301,-76.24464,13.7
Oakton CDP,38.88944,-77.30223,388.2
Norwich CDP,43.71802,-72.30566,593.2
Auburn city,47.30377,-122.21,99.6
Bellingham city,48.75344,-122.47018,63.7
Vancouver city,45.63716,-122.59657,185.1
Yakima city,46.59094,-120.5494,1171.6
Appleton city,44.27887,-88.38828,762.6
Delafield city,43.06742,-88.38883,903.9
West Bend city,43.41749,-88.18169,904.0
Palmer city,61.59717,-149.11468,235.8
Dothan city,31.2337,-85.40682,331.1
Morris town,33.74622,-86.80075,431.3
Tuscaloosa city,33.2344,-87.5283,263.0
Avondale city,33.31324,-112.32893,2456.6
Litchfield Park city,33.50176,-112.35947,1052.2
Alameda city,37.74191,-122.25991,14.0
Alamo CDP,37.85477,-122.01356,338.2
Apple Valley town,34.53338,-117.21036,2917.4
Campbell city,37.28024,-121.9533,210.7
Carnelian Bay CDP,39.23517,-120.07821,6402.2
Cerritos city,33.86774,-118.06947,53.3
Claremont city,34.12492,-117.71392,1467.3
Coronado city,32.65763,-117.15654,6.0
Danville town,37.81214,-121.96982,455.7
Dixon city,38.44751,-121.82422,63.2
