city,state,lat,lng,canonical_name,strategy,n_athletes
Murrieta,CA,33.57213,-117.19044,Murrieta city,direct,5
Orange,CA,33.78697,-117.86127,Orange city,direct,5
Pasadena,CA,34.1606,-118.13795,Pasadena city,direct,5
Santa Clarita,CA,34.4165,-118.50069,Santa Clarita city,direct,5
Thousand Oaks,CA,34.19329,-118.87423,Thousand Oaks city,direct,5
Aurora,CO,39.70363,-104.72009,Aurora city,direct,5
Edwards,CO,39.61182,-106.6197,Edwards CDP,direct,5
Golden,CO,39.74248,-105.21056,Golden city,direct,5
Greenwich,CT,41.02777,-73.62693,Greenwich CDP,direct,5
Wilmington,DE,39.73565,-75.5321,Wilmington city,direct,5
Clearwater,FL,27.97942,-82.77126,Clearwater city,direct,5
Sarasota,FL,27.33826,-82.54372,Sarasota city,direct,5
St. Petersburg,FL,27.76273,-82.64413,St. Petersburg city,direct,5
Winter Garden,FL,28.54122,-81.59124,Winter Garden city,direct,5
Gainesville,GA,34.2901,-83.82911,Gainesville city,direct,5
Sun Valley,ID,43.68385,-114.3342,Sun Valley city,direct,5
Baton Rouge,LA,30.44044,-91.13317,Baton Rouge city,direct,5
Potomac,MD,39.01333,-77.19358,Potomac CDP,direct,5
Bethel,ME,44.4038,-70.78635,Bethel CDP,direct,5
Grand Rapids,MI,42.96116,-85.65557,Grand Rapids city,direct,5
Eagan,MN,44.81522,-93.16282,Eagan city,direct,5
Grand Rapids,MN,47.23852,-93.53257,Grand Rapids city,direct,5
Lakeville,MN,44.67613,-93.25174,Lakeville city,direct,5
Mankato,MN,44.17112,-93.97638,Mankato city,direct,5
Minnetonka,MN,44.93256,-93.4567,Minnetonka city,direct,5
Greensboro,NC,36.09485,-79.82362,Greensboro city,direct,5
Ridgewood,NJ,40.98159,-74.11351,Ridgewood village,direct,5
Albuquerque,NM,35.10478,-106.64681,Albuquerque city,direct,5
Eugene,OR,44.05685,-123.11902,Eugene city,direct,5
Hershey,PA,40.28001,-76.64433,Hershey CDP,direct,5
Lancaster,PA,40.04206,-76.30099,Lancaster city,direct,5
Arlington,TX,32.70071,-97.12469,Arlington city,direct,5
Cypress,TX,30.17808,-93.75529,Little Cypress CDP,state-contains,5
Midland,TX,32.02464,-102.11347,Midland city,direct,5
Arlington,VA,38.87834,-77.1007,Arlington CDP,direct,5
Fairfax,VA,38.85318,-77.29903,Fairfax city,direct,5
Springfield,VA,38.78157,-77.18392,Springfield CDP,direct,5
Winthrop,WA,48.47157,-120.17908,Winthrop town,direct,5
Huntsville,AL,34.69772,-86.67667,Huntsville city,direct,4
Fayetteville,AR,36.07146,-94.16656,Fayetteville city,direct,4
Little Rock,AR,34.72539,-92.35856,Little Rock city,direct,4
Chandler,AZ,33.28276,-111.85182,Chandler city,direct,4
Arcadia,CA,34.13269,-118.03635,Arcadia city,direct,4
Camarillo,CA,34.22182,-119.03215,Camarillo city,direct,4
Chula Vista,CA,32.62767,-117.01517,Chula Vista city,direct,4
Dublin,CA,37.71614,-121.89623,Dublin city,direct,4
Eastvale,CA,33.96327,-117.58237,Eastvale city,direct,4
Inglewood,CA,33.95607,-118.34427,Inglewood city,direct,4
Lafayette,CA,37.891,-122.11953,Lafayette city,direct,4
Laguna Beach,CA,33.54337,-117.7618,Laguna Beach city,direct,4
Los Gatos,CA,37.22991,-121.95681,Los Gatos town,direct,4
Milpitas,CA,37.43314,-121.89092,Milpitas city,direct,4
Oceanside,CA,33.2246,-117.30629,Oceanside city,direct,4
Rancho Palos Verdes,CA,33.73852,-118.36969,Rancho Palos Verdes city,direct,4
Rocklin,CA,38.80687,-121.2497,Rocklin city,direct,4
South Pasadena,CA,34.10896,-118.15662,South Pasadena city,direct,4
Stockton,CA,37.97724,-121.30886,Stockton city,direct,4
Ventura,CA,34.26778,-119.25421,San Buenaventura (Ventura) city,state-contains,4
Woodside,CA,37.42215,-122.25859,Woodside town,direct,4
Breckenridge,CO,39.49946,-106.04324,Breckenridge town,direct,4
Crested Butte,CO,38.86779,-106.97726,Crested Butte town,direct,4
Evergreen,CO,39.63561,-105.33809,Evergreen CDP,direct,4
Frisco,CO,39.57848,-106.09097,Frisco town,direct,4
